Departamento y distrito;Total de hogares;Hogares con Necesidades Basicas Insatisfechas (NBI) - % Al menos una NBI;Hogares con Necesidades Basicas Insatisfechas (NBI) - % de NBI en Calidad de la vivienda;Hogares con Necesidades Basicas Insatisfechas (NBI) - % de NBI en Infraestructura sanitaria;Hogares con Necesidades Basicas Insatisfechas (NBI) - % de NBI en Acceso a la educacion;Hogares con Necesidades Basicas Insatisfechas (NBI) - % de NBI en Capacidad de subsistencia
          Santa Rita;8.922;19,8;2,8;7,3;8;4
          Naranjal;2.181;27,7;1,9;13;12,2;4,6
          Santa Rosa del Monday;1.941;26,2;1,3;13;10,7;5,3
          Minga Pora;3.677;37,1;7,3;18,1;15,7;10,9
          Mbaracayu;2.035;40,8;4,1;19,8;20;13,4
          San Alberto;3.771;25,7;1,9;6,4;14,5;6,3
          Iruna;1.261;22;3;8,4;9,1;4,4
          Santa Fe del Parana;1.225;30,6;3,5;6,8;20,2;8,2
          Tavapy;2.015;37,5;5,4;18,7;12,7;9
          Dr. Raul Pena;1.719;25,1;3,7;9,6;12;5,8
     Departamento Central;515.594;21,1;6,5;5,1;7,2;5,3
          Aregua;19.281;24;8,6;5,3;8,5;5,6
          Capiata;64.346;21,2;6,8;4,2;7,6;5,5
          Fernando de la Mora;31.760;14,1;3,3;3,8;4,5;3,9
          Guarambare;7.495;25,1;8,9;6,7;8;5,6
          Ita;19.806;26,7;6,8;8,3;8,9;7,9
          Itaugua;26.507;22,3;6,8;3,7;8,3;6,5
          Lambare;34.703;15,2;4,1;4;4,9;3,8
          Limpio;37.846;25,2;9,7;5,8;8,1;5,8
          Luque;69.789;21,9;6,8;6,3;7,2;4,8
          Mariano Roque Alonso;22.552;21,2;6,1;4,8;7,3;6
          Nueva Italia;2.913;23,6;7,2;4,8;7,4;7,3
          Nemby;30.815;18,7;6,2;3,3;7;4,4
          San Antonio;15.436;20,8;7,1;3,5;7,8;5
          San Lorenzo;62.378;18,8;4,6;5,4;6;5,1
          Villa Elisa;19.144;18,1;5,1;5,6;5,6;4
          Villeta;10.221;24,9;9,3;6,2;7,5;6,5
          Ypacarai;5.994;21,9;5,7;5,5;7,4;7,1
          Ypane;18.224;27,1;10,1;7,2;9,1;5,7
          J. Augusto Saldivar;16.384;27,2;9;6,1;10,9;6
     Departamento Neembucu;26.667;34;4,3;17,6;12,1;8,9
          Pilar;11.748;21,2;3,2;7,5;7,9;6,3
          Alberdi;2.342;31;7,3;12,7;9,4;7
          Cerrito;1.568;47,8;5,1;28,4;20,8;10,3
          Desmochados;462;38,7;3,2;19,5;14,3;9,5
          Gral. Jose Eduvigis Diaz;1.187;39,3;2,8;16,5;16,8;12,6
          Guazu-Cua;531;44,3;4;28,4;16,6;5,5
          Humaita;954;51,8;4,1;26,4;18,6;16,7
          Isla Umbu;884;45,9;1,9;32,4;13,7;11,1
          Laureles;875;48,2;5,1;27;20,7;13,4
          Mayor Jose Dejesus Martinez;1.153;47,1;2,9;30,6;12,7;15,5
          Paso de Patria;644;37,6;3,4;12,1;19,7;11,8
          San Juan Bautista de Neembucu;1.380;52;5,9;32,8;20;14,1
          Tacuaras;924;53,2;6,3;36,1;17,2;8,8
          Villa Franca;336;42;6,3;28,3;11,6;6,5
          Villa Oliva;1.050;42,8;10,1;28,2;9;9,2
          Villalbin;629;50,2;4,6;38;14;7,8
     Departamento Amambay;51.678;37,7;10,1;17,2;17,4;10,8
          Pedro Juan Caballero;36.013;33,4;8,6;14,4;14,2;9,7
          Bella Vista;3.638;44,1;12,6;16,4;25,1;14,3
          Capitan Bado;5.698;49,9;11,5;29,9;25,4;13,5
          Zanja Pyta;1.702;42;7,5;16,8;22,3;11,2
          Karapai;1.392;34,6;12;3,2;16,9;9,8
          Cerro Cora;3.235;56,5;21,5;34,3;28,7;14,1
     Departamento Canindeyu;57.588;34,2;7,6;12,6;15,1;10,7
          Salto del Guaira;8.711;24,7;5,4;5,8;9,7;7,3
          Corpus Christi;2.426;37,3;7,1;17,4;18,1;10,8
          Villa Curuguaty;9.805;34,4;7,2;12,6;13,9;11,7
          Villa Ygatimi;3.760;45,1;9,9;21,4;16,6;16,7
          Itanara;747;51,8;17;31,1;23,8;30,9
          Ypejhu;2.583;47,2;17,3;24,7;25,2;13,9
          Francisco Caballero Alvarez;2.403;32,5;4,4;11,4;15,8;8,2
          Katuete;3.555;17,4;2,6;4,1;9,3;3,9
          La Paloma del Espiritu Santo;2.330;28,6;3,9;7,8;16,1;6,7
          Nueva Esperanza;3.534;30,4;5,2;12,2;14,1;7
          Yasy Cany;6.218;40,1;8,4;13;16,1;15,5
          Ybyrarobana;2.690;40,5;6,5;19,5;19;11,9
          Yby Pyta;3.434;34,7;9,3;10,6;16,2;11,6
          Maracana;4.181;36;11,9;10,1;16;8,4
          Puerto Adela;434;37,6;3,7;14,5;24,2;7,4
          Laurel;777;49,5;10,2;29,6;19,9;10,3
     Departamento Presidente Hayes;34.627;58,2;12,6;44,5;20,5;15,8
          Benjamin Aceval;6.027;38;9,2;16,3;14;10,3
          Puerto Pinasco;2.441;85,3;24,3;79,4;42,6;38,8
          Villa Hayes;13.380;45,1;10,5;28,6;15,7;12,6
          Nanawa;1.873;43,1;6,5;28,2;11,4;7,5
          Jose Falcon;1.044;44,9;9,1;29,1;10;9,6
          Tte. 1ro Manuel Irala Fernandez;5.614;94,3;18,9;89;37,1;26,1
          Teniente Esteban Martinez;767;80,8;13,2;71,8;15,3;20,1
          General Jose Maria Bruguez;791;71,3;18,1;61,4;24;20,6
          Campo Aceval;1.712;92,9;10,5;89,4;17,3;7,7
          Nueva Asuncion;978;41,7;9,8;26,9;9,6;5,3
     Departamento Boqueron;20.398;83,8;12,4;77,4;17,9;14,7
          Mariscal Jose Felix Estigarribia;3.412;69,1;20,2;51,5;25,9;30,3
          Filadelfia;6.096;82,1;9;77,3;17;9,2
          Loma Plata;6.306;92,1;9,1;90,1;13,7;10,5
          Boqueron;4.584;85,6;15,7;79,4;18,7;16,2
     Departamento Alto Paraguay;5.199;62,9;15,4;43,9;19,8;16,4
          Fuerte Olimpo;1.320;60,6;16,1;42,3;17,4;12,8
          Puerto Casado;1.689;68,2;16,6;54,4;20,8;20,7
          Bahia Negra;850;60,5;15,2;38;21,4;11,4
          Carmelo Peralta;1.340;60,1;13,4;35,9;19,7;17,8
